기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.03.30 장마감,삼성전자,10436322,176300,-1.89,삼성,IT,반도체
2026.03.30 장마감,SK하이닉스,6221892,873000,-5.31,SK,IT,반도체
2026.03.30 장마감,현대차,961338,469500,-5.15,현대차,자유소비재,자동차
2026.03.30 장마감,LG에너지솔루션,959400,410000,3.93,LG,소재,배터리
2026.03.30 장마감,삼성바이오로직스,708252,1530000,-4.73,삼성,헬스케어,바이오
2026.03.30 장마감,한화에어로스페이스,674449,1308000,-2.02,한화,산업재,방산
2026.03.30 장마감,SK스퀘어,673644,510000,-6.25,SK,산업재,지주
2026.03.30 장마감,두산에너빌리티,603409,94200,-3.98,두산,산업재,전력기기
2026.03.30 장마감,기아,591476,151500,-2.76,현대차,자유소비재,자동차
2026.03.30 장마감,KB금융,543989,145900,-4.14,KB금융,금융,은행
2026.03.30 장마감,HD현대중공업,503814,480000,-3.71,HD현대,산업재,조선
2026.03.30 장마감,셀트리온,465562,201500,-2.18,셀트리온,헬스케어,바이오
2026.03.30 장마감,삼성물산,441089,259500,-3.53,삼성,산업재,상사
2026.03.30 장마감,삼성생명,439000,219500,-1.57,삼성,금융,보험
2026.03.30 장마감,신한지주,429562,90500,-3.21,신한금융,금융,은행
2026.03.30 장마감,한화오션,362181,118200,-4.06,한화,산업재,조선
2026.03.30 장마감,현대모비스,361116,398000,-2.57,현대차,자유소비재,자동차부품
2026.03.30 장마감,미래에셋증권,348183,62700,-6.56,미래에셋,금융,증권
2026.03.30 장마감,삼성SDI,332415,412500,1.73,삼성,소재,배터리
2026.03.30 장마감,NAVER,324685,207000,-2.59,NAVER,커뮤니케이션서비스,플랫폼
2026.03.30 장마감,삼성전기,320436,429000,-1.15,삼성,IT,전자부품
2026.03.30 장마감,HD현대일렉트릭,314331,872000,-4.7,HD현대,산업재,전력기기
2026.03.30 장마감,고려아연,308502,1478000,-0.34,영풍,소재,금속소재
2026.03.30 장마감,하나금융지주,298365,107200,-2.9,하나금융,금융,은행
2026.03.30 장마감,POSCO홀딩스,277600,343000,0.0,포스코,소재,철강
