기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.07 10:42 장중,삼성전자,11507776,194400,0.67,삼성,IT,반도체
2026.04.07 10:42 장중,SK하이닉스,6442829,904000,2.03,SK,IT,반도체
2026.04.07 10:42 장중,LG에너지솔루션,969930,414500,0.48,LG,소재,배터리
2026.04.07 10:42 장중,현대차,961338,469500,0.11,현대차,자유소비재,자동차
2026.04.07 10:42 장중,한화에어로스페이스,749216,1453000,0.21,한화,산업재,방산
2026.04.07 10:42 장중,삼성바이오로직스,729545,1576000,1.35,삼성,헬스케어,바이오
2026.04.07 10:42 장중,SK스퀘어,659775,499500,2.57,SK,산업재,지주
2026.04.07 10:42 장중,두산에너빌리티,611736,95500,-0.21,두산,산업재,전력기기
2026.04.07 10:42 장중,기아,587572,150500,-0.73,현대차,자유소비재,자동차
2026.04.07 10:42 장중,KB금융,559649,150100,1.49,KB금융,금융,은행
2026.04.07 10:42 장중,HD현대중공업,493318,470000,-0.21,HD현대,산업재,조선
2026.04.07 10:42 장중,셀트리온,451237,195300,-0.26,셀트리온,헬스케어,바이오
2026.04.07 10:42 장중,삼성생명,449000,224500,-0.66,삼성,금융,보험
2026.04.07 10:42 장중,삼성물산,445154,274500,1.86,삼성,산업재,상사
2026.04.07 10:42 장중,신한지주,443802,93500,0.65,신한금융,금융,은행
2026.04.07 10:42 장중,한화오션,372599,121600,-0.33,한화,산업재,조선
2026.04.07 10:42 장중,삼성SDI,371096,460500,1.54,삼성,소재,배터리
2026.04.07 10:42 장중,현대모비스,350228,386000,-0.64,현대차,자유소비재,자동차부품
2026.04.07 10:42 장중,미래에셋증권,345962,62300,-1.42,미래에셋,금융,증권
2026.04.07 10:42 장중,삼성전기,339856,455000,-1.52,삼성,IT,전자부품
2026.04.07 10:42 장중,HD현대일렉트릭,321180,891000,-0.34,HD현대,산업재,전력기기
2026.04.07 10:42 장중,하나금융지주,317013,113900,1.33,하나금융,금융,은행
2026.04.07 10:42 장중,NAVER,310882,198200,0.71,NAVER,커뮤니케이션서비스,플랫폼
2026.04.07 10:42 장중,고려아연,306833,1470000,-0.74,영풍,소재,금속소재
2026.04.07 10:42 장중,POSCO홀딩스,281242,347500,-0.43,포스코,소재,철강
