기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.05.20 장마감,삼성전자,16135729,276000,0.18,삼성,IT,반도체
2026.05.20 장마감,SK하이닉스,12436656,1745000,0.0,SK,IT,반도체
2026.05.20 장마감,SK스퀘어,1357852,1029000,0.88,SK,산업재,지주
2026.05.20 장마감,현대차,1212166,592000,-1.99,현대차,자유소비재,자동차
2026.05.20 장마감,LG에너지솔루션,899730,384500,-3.87,LG,소재,배터리
2026.05.20 장마감,삼성전기,792500,1061000,7.5,삼성,IT,전자부품
2026.05.20 장마감,HD현대중공업,667553,636000,6.35,HD현대,산업재,조선
2026.05.20 장마감,두산에너빌리티,648888,101300,-4.43,두산,산업재,전력기기
2026.05.20 장마감,한화에어로스페이스,644027,1249000,-2.88,한화,산업재,방산
2026.05.20 장마감,삼성생명,624000,312000,0.0,삼성,금융,보험
2026.05.20 장마감,삼성바이오로직스,618910,1337000,-0.67,삼성,헬스케어,바이오
2026.05.20 장마감,삼성물산,600831,370500,-2.63,삼성,산업재,상사
2026.05.20 장마감,기아,583277,149400,-3.55,현대차,자유소비재,자동차
2026.05.20 장마감,KB금융,565614,151700,-0.72,KB금융,금융,은행
2026.05.20 장마감,현대모비스,485419,535000,1.9,현대차,자유소비재,자동차부품
2026.05.20 장마감,삼성SDI,459338,570000,-2.9,삼성,소재,배터리
2026.05.20 장마감,신한지주,446175,94000,0.11,신한금융,금융,은행
2026.05.20 장마감,셀트리온,398487,179400,-1.7,셀트리온,헬스케어,바이오
2026.05.20 장마감,HD현대일렉트릭,384262,1066000,-2.65,HD현대,산업재,전력기기
2026.05.20 장마감,SK,381364,526000,1.35,SK,산업재,지주
2026.05.20 장마감,LS ELECTRIC,357750,238500,-2.05,LS,산업재,전력기기
2026.05.20 장마감,미래에셋증권,346931,62000,-6.63,미래에셋,금융,증권
2026.05.20 장마감,한화오션,338587,110500,-1.25,한화,산업재,조선
2026.05.20 장마감,효성중공업,332793,3569000,-0.31,효성,산업재,전력기기
2026.05.20 장마감,POSCO홀딩스,330437,417000,-5.33,포스코,소재,철강
2026.05.20 장마감,하나금융지주,317169,115600,0.26,하나금융,금융,은행
2026.05.20 장마감,NAVER,300413,191500,-3.33,NAVER,커뮤니케이션서비스,플랫폼
2026.05.20 장마감,LG전자,294821,181000,-5.58,LG,자유소비재,가전
2026.05.20 장마감,HD한국조선해양,282385,399000,-0.25,HD현대,산업재,조선
2026.05.20 장마감,고려아연,274271,1314000,-4.37,영풍,소재,금속소재
2026.05.20 장마감,한미반도체,274023,287500,-0.17,한미반도체,IT,반도체장비
