기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.09.01 장마감,삼성전자,15258787,261000,0.38,삼성,IT,반도체
2026.09.01 장마감,SK하이닉스,12367236,1693000,1.14,SK,IT,반도체
2026.09.01 장마감,SK스퀘어,1407629,1067000,2.89,SK,산업재,지주
2026.09.01 장마감,삼성전기,1068120,1430000,-1.92,삼성,IT,전자부품
2026.09.01 장마감,LG에너지솔루션,858780,367000,-2.91,LG,소재,배터리
2026.09.01 장마감,현대차,820055,400500,-0.74,현대차,자유소비재,자동차
2026.09.01 장마감,삼성바이오로직스,703622,1520000,0.13,삼성,헬스케어,바이오
2026.09.01 장마감,삼성물산,633264,390500,3.72,삼성,산업재,상사
2026.09.01 장마감,삼성생명,619000,309500,1.14,삼성,금융,보험
2026.09.01 장마감,KB금융,607225,171200,-1.21,KB금융,금융,은행
2026.09.01 장마감,한화에어로스페이스,545541,1058000,-3.99,한화,산업재,방산
2026.09.01 장마감,신한지주,521559,111100,2.02,신한금융,금융,은행
2026.09.01 장마감,두산에너빌리티,521417,81400,-1.33,두산,산업재,전력기기
2026.09.01 장마감,기아,512222,131200,0.15,현대차,자유소비재,자동차
2026.09.01 장마감,HD현대중공업,475474,453000,0.78,HD현대,산업재,조선
2026.09.01 장마감,삼성SDI,458532,569000,-1.39,삼성,소재,배터리
2026.09.01 장마감,셀트리온,437320,188000,-0.48,셀트리온,헬스케어,바이오
2026.09.01 장마감,SK,424866,586000,7.52,SK,산업재,지주
2026.09.01 장마감,현대모비스,398354,443500,-2.21,현대차,자유소비재,자동차부품
2026.09.01 장마감,하나금융지주,376981,137400,0.81,하나금융,금융,은행
2026.09.01 장마감,LG전자,336357,206500,-4.62,LG,자유소비재,가전
2026.09.01 장마감,NAVER,326964,215000,-0.92,NAVER,커뮤니케이션서비스,플랫폼
2026.09.01 장마감,LS ELECTRIC,306750,204500,-1.45,LS,산업재,전력기기
2026.09.01 장마감,삼성화재,302263,677000,1.8,삼성,금융,보험
2026.09.01 장마감,HD현대일렉트릭,277202,769000,-1.54,HD현대,산업재,전력기기
2026.09.01 장마감,효성중공업,271904,2916000,-1.59,효성,산업재,전력기기
2026.09.01 장마감,POSCO홀딩스,270214,341000,0.74,포스코,소재,철강
2026.09.01 장마감,한화오션,269337,87900,-0.11,한화,산업재,조선
2026.09.01 장마감,고려아연,261121,1251000,-2.04,영풍,소재,금속소재
2026.09.01 장마감,우리금융지주,254560,34550,2.22,우리금융,금융,은행
2026.09.01 장마감,HD한국조선해양,250183,353500,1.43,HD현대,산업재,조선
2026.09.01 장마감,SK이노베이션,228728,135300,7.81,SK,에너지,정유
2026.09.01 장마감,메리츠금융지주,209853,125400,2.62,메리츠,금융,금융지주
2026.09.01 장마감,한국전력,207675,32350,1.41,한국전력,유틸리티,전력
2026.09.01 장마감,한미반도체,204921,215000,-2.49,한미반도체,IT,반도체장비
2026.09.01 장마감,SK텔레콤,203191,94600,0.42,SK,커뮤니케이션서비스,통신
2026.09.01 장마감,HMM,201381,21350,-0.47,HMM,산업재,물류운송
2026.09.01 장마감,LG화학,199070,282000,0.71,LG,소재,화학
2026.09.01 장마감,두산,195298,1206000,-4.51,두산,산업재,지주
2026.09.01 장마감,삼성에스디에스,189576,245000,2.08,삼성,IT,IT서비스
2026.09.01 장마감,미래에셋증권,189514,34900,0.58,미래에셋,금융,증권
2026.09.01 장마감,삼성중공업,184800,21000,0.48,삼성,산업재,조선
2026.09.01 장마감,LG,181884,120300,0.75,LG,산업재,지주
2026.09.01 장마감,KT&G,181564,174900,-1.8,KT&G,필수소비재,기호품
2026.09.01 장마감,HD현대,172995,219000,0.0,HD현대,산업재,지주
2026.09.01 장마감,S-Oil,170788,151700,1.07,S-Oil,에너지,정유
2026.09.01 장마감,포스코퓨처엠,170154,191300,-4.59,포스코,소재,배터리
2026.09.01 장마감,기업은행,166662,20900,0.97,IBK,금융,은행
2026.09.01 장마감,에이피알,161920,432500,-6.89,에이피알,필수소비재,화장품
2026.09.01 장마감,카카오,161688,36500,-0.14,카카오,커뮤니케이션서비스,플랫폼
2026.09.01 장마감,현대글로비스,157125,209500,0.96,현대차,산업재,물류운송
2026.09.01 장마감,LIG디펜스앤에어로스페이스,150700,685000,-1.3,LIG,산업재,방산
2026.09.01 장마감,현대로템,142212,130300,-4.33,현대차,산업재,방산
2026.09.01 장마감,LG이노텍,139636,590000,-8.1,LG,IT,전자부품
2026.09.01 장마감,KT,136092,54000,1.12,KT,커뮤니케이션서비스,통신
2026.09.01 장마감,현대건설,134406,120700,-2.11,현대차,산업재,건설
2026.09.01 장마감,한화시스템,133377,70600,-3.55,한화,산업재,방산
2026.09.01 장마감,DB손해보험,126154,192600,6.35,DB,금융,보험
2026.09.01 장마감,한국항공우주,123988,127200,-2.9,KAI,산업재,방산
2026.09.01 장마감,GS,115841,124700,-1.89,GS,산업재,지주
2026.09.01 장마감,삼양식품,112393,1492000,-2.55,삼양,필수소비재,식품
2026.09.01 장마감,현대오토에버,111341,406000,-3.68,현대차,IT,IT서비스
2026.09.01 장마감,한국금융지주,106437,191000,-0.62,한국투자금융,금융,금융지주
2026.09.01 장마감,대한항공,105863,28750,2.31,한진,산업재,물류운송
2026.09.01 장마감,크래프톤,105678,231000,1.76,크래프톤,커뮤니케이션서비스,게임
2026.09.01 장마감,카카오뱅크,104728,21950,0.46,카카오,금융,은행
2026.09.01 장마감,NH투자증권,97840,26500,-0.19,NH,금융,증권
2026.09.01 장마감,포스코인터내셔널,97285,55300,2.98,포스코,산업재,상사
