기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
05.08~05.15 Weekly,삼성전자,15814184,270500,0.74,삼성,IT,반도체,268500
05.08~05.15 Weekly,SK하이닉스,12964056,1819000,7.89,SK,IT,반도체,1686000
05.08~05.15 Weekly,SK스퀘어,1448903,1098000,0.0,SK,산업재,지주,1098000
05.08~05.15 Weekly,현대차,1433304,700000,14.19,현대차,자유소비재,자동차,613000
05.08~05.15 Weekly,LG에너지솔루션,975780,417000,-12.49,LG,소재,배터리,476500
05.08~05.15 Weekly,삼성전기,754406,1010000,10.5,삼성,IT,전자부품,914000
05.08~05.15 Weekly,두산에너빌리티,709742,110800,-14.51,두산,산업재,전력기기,129600
05.08~05.15 Weekly,HD현대중공업,671752,640000,-2.74,HD현대,산업재,조선,658000
05.08~05.15 Weekly,삼성바이오로직스,656869,1419000,-3.6,삼성,헬스케어,바이오,1472000
05.08~05.15 Weekly,기아,655894,168000,2.13,현대차,자유소비재,자동차,164500
05.08~05.15 Weekly,삼성물산,643000,396500,-6.15,삼성,산업재,상사,422500
05.08~05.15 Weekly,한화에어로스페이스,627011,1216000,-6.96,한화,산업재,방산,1307000
05.08~05.15 Weekly,삼성생명,620000,310000,5.08,삼성,금융,보험,295000
05.08~05.15 Weekly,KB금융,580155,155600,-3.77,KB금융,금융,은행,161700
05.08~05.15 Weekly,현대모비스,570708,629000,23.58,현대차,자유소비재,자동차부품,509000
05.08~05.15 Weekly,삼성SDI,494795,614000,-9.44,삼성,소재,배터리,678000
05.08~05.15 Weekly,신한지주,451396,95100,-2.96,신한금융,금융,은행,98000
05.08~05.15 Weekly,HD현대일렉트릭,424996,1179000,-15.97,HD현대,산업재,전력기기,1403000
05.08~05.15 Weekly,셀트리온,419019,188800,-4.84,셀트리온,헬스케어,바이오,198400
05.08~05.15 Weekly,LG전자,391738,240500,56.07,LG,자유소비재,가전,154100
05.08~05.15 Weekly,미래에셋증권,391137,69900,-12.19,미래에셋,금융,증권,79600
05.08~05.15 Weekly,LS ELECTRIC,388500,259000,-17.25,LS,산업재,전력기기,313000
05.08~05.15 Weekly,POSCO홀딩스,370454,467500,-10.95,포스코,소재,철강,525000
05.08~05.15 Weekly,SK,364689,503000,-8.55,SK,산업재,지주,550000
05.08~05.15 Weekly,한화오션,361874,118100,-6.34,한화,산업재,조선,126100
05.08~05.15 Weekly,한미반도체,351702,369000,-5.38,한미반도체,IT,반도체장비,390000
05.08~05.15 Weekly,효성중공업,349204,3745000,-14.85,효성,산업재,전력기기,4398000
05.08~05.15 Weekly,하나금융지주,326498,119000,-5.93,하나금융,금융,은행,126500
05.08~05.15 Weekly,NAVER,319238,203500,-5.35,NAVER,커뮤니케이션서비스,플랫폼,215000
05.08~05.15 Weekly,고려아연,297649,1426000,-8.53,영풍,소재,금속소재,1559000
05.08~05.15 Weekly,HD한국조선해양,294416,416000,-7.96,HD현대,산업재,조선,452000
05.08~05.15 Weekly,LG화학,264015,374000,-12.92,LG,소재,화학,429500
05.08~05.15 Weekly,두산,261368,1614000,-6.97,두산,산업재,지주,1735000
