그룹사,1차 분류,2차 분류,종목명
삼성,IT,반도체,삼성전자
SK,IT,반도체,SK하이닉스
현대차,자유소비재,자동차,현대차
LG,소재,배터리,LG에너지솔루션
SK,산업재,지주,SK스퀘어
삼성,헬스케어,바이오,삼성바이오로직스
한화,산업재,방산,한화에어로스페이스
두산,산업재,전력기기,두산에너빌리티
현대차,자유소비재,자동차,기아
KB금융,금융,은행,KB금융
HD현대,산업재,조선,HD현대중공업
삼성,산업재,상사,삼성물산
셀트리온,헬스케어,바이오,셀트리온
삼성,금융,보험,삼성생명
신한금융,금융,은행,신한지주
한화,산업재,조선,한화오션
현대차,자유소비재,자동차부품,현대모비스
미래에셋,금융,증권,미래에셋증권
NAVER,커뮤니케이션서비스,플랫폼,NAVER
HD현대,산업재,전력기기,HD현대일렉트릭
삼성,IT,전자부품,삼성전기
영풍,소재,금속소재,고려아연
삼성,소재,배터리,삼성SDI
한국전력,유틸리티,전력,한국전력
하나금융,금융,은행,하나금융지주
한미반도체,IT,반도체장비,한미반도체
포스코,소재,철강,POSCO홀딩스
HD현대,산업재,조선,HD한국조선해양
효성,산업재,전력기기,효성중공업
SK,산업재,지주,SK
LS,산업재,전력기기,LS ELECTRIC
한화,산업재,방산,한화시스템
우리금융,금융,은행,우리금융지주
삼성,산업재,조선,삼성중공업
LG,소재,화학,LG화학
삼성,금융,보험,삼성화재
카카오,커뮤니케이션서비스,플랫폼,카카오
HD현대,산업재,지주,HD현대
현대차,산업재,방산,현대로템
HMM,산업재,물류운송,HMM
두산,산업재,지주,두산
LG,자유소비재,가전,LG전자
SK,에너지,정유,SK이노베이션
IBK,금융,은행,기업은행
KT&G,필수소비재,기호품,KT&G
메리츠,금융,금융지주,메리츠금융지주
포스코,소재,배터리,포스코퓨처엠
KAI,산업재,방산,한국항공우주
현대차,산업재,물류운송,현대글로비스
현대차,산업재,건설,현대건설
SK,커뮤니케이션서비스,통신,SK텔레콤
KT,커뮤니케이션서비스,통신,KT
LIG,산업재,방산,LIG넥스원
LG,산업재,지주,LG
포스코,산업재,상사,포스코인터내셔널
삼성,산업재,지주,삼성에피스홀딩스
DB,금융,보험,DB손해보험
하이브,커뮤니케이션서비스,엔터테인먼트,하이브
에이피알,필수소비재,화장품,에이피알
S-Oil,에너지,정유,S-Oil
삼성,IT,IT서비스,삼성에스디에스
한국투자금융,금융,금융지주,한국금융지주
NH,금융,증권,NH투자증권
카카오,금융,은행,카카오뱅크
크래프톤,커뮤니케이션서비스,게임,크래프톤
현대차,IT,IT서비스,현대오토에버
다우키움,금융,증권,키움증권
한진,산업재,물류운송,대한항공
삼양,필수소비재,식품,삼양식품
이수,IT,전자부품,이수페타시스
LS,산업재,지주,LS
한화,산업재,지주,한화
삼성,금융,증권,삼성증권
한진,산업재,지주,한진칼
HD현대,산업재,조선,HD현대마린솔루션
아모레퍼시픽,필수소비재,화장품,아모레퍼시픽
한화,소재,화학,한화솔루션
유한,헬스케어,바이오,유한양행
SK,헬스케어,바이오,SK바이오팜
카카오,금융,핀테크,카카오페이
한국앤컴퍼니,자유소비재,자동차,한국타이어앤테크놀로지
LG,IT,전자부품,LG이노텍
삼성,금융,카드,삼성카드
중흥,산업재,건설,대우건설
삼성,산업재,건설,삼성E&A
LG,커뮤니케이션서비스,통신,LG유플러스
한미,헬스케어,바이오,한미약품
GS,산업재,지주,GS
LG,IT,IT서비스,LG씨엔에스
한국전력,산업재,전력기기,한전기술
CJ,산업재,지주,CJ
두산,산업재,건설기계,두산밥캣
LG,IT,디스플레이,LG디스플레이
BNK,금융,은행,BNK금융지주
두산,산업재,로봇산업,두산로보틱스
JB금융,금융,은행,JB금융지주
호반,산업재,전력기기,대한전선
오리온,필수소비재,식품,오리온
넷마블,자유소비재,생활가전/렌탈,코웨이
엘앤에프,소재,배터리,엘앤에프
에코프로,소재,배터리,에코프로머티
현대차,소재,철강,현대제철
엔씨소프트,커뮤니케이션서비스,게임,엔씨소프트
포스코,IT,IT서비스,포스코DX
산일전기,산업재,전력기기,산일전기
KCC,소재,건자재/화학,KCC
한화,금융,보험,한화생명
넷마블,커뮤니케이션서비스,게임,넷마블
한온시스템,자유소비재,자동차부품,한온시스템
한화,산업재,조선,한화엔진
